,name,rating,team
0,Rassie van der Dussen,"<td class=""table-body__cell u-text-right rating"">787</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo SA""></span>
<span class=""table-body__logo-text"">SA</span>
</td>"
1,David Warner,"<td class=""table-body__cell u-text-right rating"">747</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
2,Quinton de Kock,"<td class=""table-body__cell u-text-right rating"">743</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo SA""></span>
<span class=""table-body__logo-text"">SA</span>
</td>"
3,Imam-ul-Haq,"<td class=""table-body__cell u-text-right rating"">740</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo PAK""></span>
<span class=""table-body__logo-text"">PAK</span>
</td>"
4,Shubman Gill,"<td class=""table-body__cell u-text-right rating"">734</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo IND""></span>
<span class=""table-body__logo-text"">IND</span>
</td>"
5,Virat Kohli,"<td class=""table-body__cell u-text-right rating"">727</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo IND""></span>
<span class=""table-body__logo-text"">IND</span>
</td>"
6,Steve Smith,"<td class=""table-body__cell u-text-right rating"">719</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
7,Rohit Sharma,"<td class=""table-body__cell u-text-right rating"">719</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo IND""></span>
<span class=""table-body__logo-text"">IND</span>
</td>"
8,Kane Williamson,"<td class=""table-body__cell u-text-right rating"">700</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo NZ""></span>
<span class=""table-body__logo-text"">NZ</span>
</td>"
9,Josh Hazlewood,"<td class=""table-body__cell u-text-right rating"">727</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
10,Trent Boult,"<td class=""table-body__cell u-text-right rating"">708</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo NZ""></span>
<span class=""table-body__logo-text"">NZ</span>
</td>"
11,Mitchell Starc,"<td class=""table-body__cell u-text-right rating"">665</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
12,Shakib Al Hasan,"<td class=""table-body__cell u-text-right rating"">663</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo BAN""></span>
<span class=""table-body__logo-text"">BAN</span>
</td>"
13,Rashid Khan,"<td class=""table-body__cell u-text-right rating"">659</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AFG""></span>
<span class=""table-body__logo-text"">AFG</span>
</td>"
14,Adam Zampa,"<td class=""table-body__cell u-text-right rating"">655</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
15,Shaheen Afridi,"<td class=""table-body__cell u-text-right rating"">641</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo PAK""></span>
<span class=""table-body__logo-text"">PAK</span>
</td>"
16,Mujeeb Ur Rahman,"<td class=""table-body__cell u-text-right rating"">637</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AFG""></span>
<span class=""table-body__logo-text"">AFG</span>
</td>"
17,Mohammad Nabi,"<td class=""table-body__cell u-text-right rating"">631</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AFG""></span>
<span class=""table-body__logo-text"">AFG</span>
</td>"
18,Mohammad Nabi,"<td class=""table-body__cell u-text-right rating"">310</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AFG""></span>
<span class=""table-body__logo-text"">AFG</span>
</td>"
19,Rashid Khan,"<td class=""table-body__cell u-text-right rating"">280</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AFG""></span>
<span class=""table-body__logo-text"">AFG</span>
</td>"
20,Mitchell Santner,"<td class=""table-body__cell u-text-right rating"">269</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo NZ""></span>
<span class=""table-body__logo-text"">NZ</span>
</td>"
21,Mehedi Hasan,"<td class=""table-body__cell u-text-right rating"">263</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo BAN""></span>
<span class=""table-body__logo-text"">BAN</span>
</td>"
22,Sikandar Raza,"<td class=""table-body__cell u-text-right rating"">253</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo ZIM""></span>
<span class=""table-body__logo-text"">ZIM</span>
</td>"
23,Wanindu Hasaranga,"<td class=""table-body__cell u-text-right rating"">240</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo SL""></span>
<span class=""table-body__logo-text"">SL</span>
</td>"
24,Zeeshan Maqsood,"<td class=""table-body__cell u-text-right rating"">238</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo OMA""></span>
<span class=""table-body__logo-text"">OMA</span>
</td>"
25,Assad Vala,"<td class=""table-body__cell u-text-right rating"">232</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo PNG""></span>
<span class=""table-body__logo-text"">PNG</span>
</td>"
26,Dhananjaya de Silva,"<td class=""table-body__cell u-text-right rating"">221</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo SL""></span>
<span class=""table-body__logo-text"">SL</span>
</td>"
27,Rassie van der Dussen,"<td class=""table-body__cell u-text-right rating"">787</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo SA""></span>
<span class=""table-body__logo-text"">SA</span>
</td>"
28,David Warner,"<td class=""table-body__cell u-text-right rating"">747</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
29,Quinton de Kock,"<td class=""table-body__cell u-text-right rating"">743</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo SA""></span>
<span class=""table-body__logo-text"">SA</span>
</td>"
30,Imam-ul-Haq,"<td class=""table-body__cell u-text-right rating"">740</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo PAK""></span>
<span class=""table-body__logo-text"">PAK</span>
</td>"
31,Shubman Gill,"<td class=""table-body__cell u-text-right rating"">734</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo IND""></span>
<span class=""table-body__logo-text"">IND</span>
</td>"
32,Virat Kohli,"<td class=""table-body__cell u-text-right rating"">727</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo IND""></span>
<span class=""table-body__logo-text"">IND</span>
</td>"
33,Steve Smith,"<td class=""table-body__cell u-text-right rating"">719</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
34,Rohit Sharma,"<td class=""table-body__cell u-text-right rating"">719</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo IND""></span>
<span class=""table-body__logo-text"">IND</span>
</td>"
35,Kane Williamson,"<td class=""table-body__cell u-text-right rating"">700</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo NZ""></span>
<span class=""table-body__logo-text"">NZ</span>
</td>"
36,Josh Hazlewood,"<td class=""table-body__cell u-text-right rating"">727</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
37,Trent Boult,"<td class=""table-body__cell u-text-right rating"">708</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo NZ""></span>
<span class=""table-body__logo-text"">NZ</span>
</td>"
38,Mitchell Starc,"<td class=""table-body__cell u-text-right rating"">665</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
39,Shakib Al Hasan,"<td class=""table-body__cell u-text-right rating"">663</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo BAN""></span>
<span class=""table-body__logo-text"">BAN</span>
</td>"
40,Rashid Khan,"<td class=""table-body__cell u-text-right rating"">659</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AFG""></span>
<span class=""table-body__logo-text"">AFG</span>
</td>"
41,Adam Zampa,"<td class=""table-body__cell u-text-right rating"">655</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
42,Shaheen Afridi,"<td class=""table-body__cell u-text-right rating"">641</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo PAK""></span>
<span class=""table-body__logo-text"">PAK</span>
</td>"
43,Mujeeb Ur Rahman,"<td class=""table-body__cell u-text-right rating"">637</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AFG""></span>
<span class=""table-body__logo-text"">AFG</span>
</td>"
44,Mohammad Nabi,"<td class=""table-body__cell u-text-right rating"">631</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AFG""></span>
<span class=""table-body__logo-text"">AFG</span>
</td>"
45,Mohammad Nabi,"<td class=""table-body__cell u-text-right rating"">310</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AFG""></span>
<span class=""table-body__logo-text"">AFG</span>
</td>"
46,Rashid Khan,"<td class=""table-body__cell u-text-right rating"">280</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AFG""></span>
<span class=""table-body__logo-text"">AFG</span>
</td>"
47,Mitchell Santner,"<td class=""table-body__cell u-text-right rating"">269</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo NZ""></span>
<span class=""table-body__logo-text"">NZ</span>
</td>"
48,Mehedi Hasan,"<td class=""table-body__cell u-text-right rating"">263</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo BAN""></span>
<span class=""table-body__logo-text"">BAN</span>
</td>"
49,Sikandar Raza,"<td class=""table-body__cell u-text-right rating"">253</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo ZIM""></span>
<span class=""table-body__logo-text"">ZIM</span>
</td>"
50,Wanindu Hasaranga,"<td class=""table-body__cell u-text-right rating"">240</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo SL""></span>
<span class=""table-body__logo-text"">SL</span>
</td>"
51,Zeeshan Maqsood,"<td class=""table-body__cell u-text-right rating"">238</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo OMA""></span>
<span class=""table-body__logo-text"">OMA</span>
</td>"
52,Assad Vala,"<td class=""table-body__cell u-text-right rating"">232</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo PNG""></span>
<span class=""table-body__logo-text"">PNG</span>
</td>"
53,Dhananjaya de Silva,"<td class=""table-body__cell u-text-right rating"">221</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo SL""></span>
<span class=""table-body__logo-text"">SL</span>
</td>"
